ID,Autor,Titulo,Texto,Estrellas,Sentimiento,Categoria
amazon_4728_0,Angelica, Soporte de calidad,Muy cómodo y resistente al ser de material mas fuerte si aguanta laptops qué pesen no se rompe muy buen soporte y al ser giratorio facilita el trabajo.,5,Positivo,Diseño e Interfaz
amazon_4728_1,Oscar vallejo, EL APRIETE DE LOS TORNILLOS ES... RARO.,"EL PESO DE MI LAPTOP LOGRA VENDER LOS TORNILLOS DE APRIETE. TENGO QUE APRETAR DEMASIADO PARA EVITAR QUE LA LAPTOP SE VENGA ABAJO. Y HACIENDO ESO, SE GENERA UN TEMBLOR QUE PARECE QUE ESTA MUY ENDEBLE LA ESTRUCTURA. NO ESTA MAL, PERO NO ES REALMENTE COMODA. O FIRME COMO DESEARIA. VIENE CON UNAS PEGATINAS COMO ACOLCHADAS. NO TE DICE PARA QUE SON PERO LAS PUSE COMO BASE PARA EVITAR QUE LA LAPTOP SE RAYE. Y UNOS SOPORTES CON PEGAMENTO PARA ACOMODAR TUS CABLES. NO SON TAN UTILES PERO CUMPLEN SU COMETIDO.",4,Neutral,Diseño e Interfaz
amazon_4728_2,Liliana," Muy muy recomendable, excelente producto y de gran calidad.","Muy bueno, de excelente calidad, super resistente nada estorboso, me encanta.",5,Positivo,Diseño e Interfaz
amazon_4728_3,Nissho, No sirve,"Haz clic para reproducir el video
Al ajustarlo es una tortura sin mencionar q no aguanta 5 min una lap se vence muy rápido y queda chueca, incluso si ajusto completamente las tuercas se vence",1,Negativo,Funcionalidad
amazon_4728_4,Rodolfo Navarro Nápoles, Funcionamiento de la base,Cuando pones la laptop y la base está en una posición alta. Nunca se mantiene en esa posición por más que aprietes los tornillos,2,Negativo,Funcionalidad
amazon_4728_5,Rubí Elizabeth Álvarez Casas, Mas o menos,"La base es muy pesada, demasiado, no se puede transportar en el maletín de la laptop, y aunque sus posiciones son muy cómodas, vibra mucho cada vez que uno escribe, se le tienen que poner papelitos por todos lados para tratar de disminuir la vibración. Es util para mantener el equipo en una posición y escribir con teclado externo.",3,Positivo,Diseño e Interfaz
amazon_4728_6,Cliente de Kindle, Un soporte resistente,"Me ha parecido un buen producto, resistente; y los organizadores de cables son una buena adicción.",5,Positivo,Materiales y Durabilidad
amazon_4728_7,Jonathan Leonardo, Funcional pero poco portátil,Está poco pesada y portátil. Me hubiera gustado que las tuercas para apretar fueran con mariposa y no con llave hexagonal. Pero está funcional.,4,Positivo,Diseño e Interfaz
amazon_4728_8,Fabián Martínez, Para laptoos ligeras,"Esta padre la base pero, para laptos ligeras o ipads, porque quizá ponerla con mi laptoo hp de 17 pulgadas pero se hundió la base, no quedaba alta. Eso si, se gira sin esfuerzo aún con la laptos asi que mala base no es.",4,Neutral,Diseño e Interfaz
amazon_4728_9,Sandra Cruz, Buen material,"Me encantó. Muy estable, funcional y de buena material. Ya tengo más espacio para trabajar",5,Positivo,Diseño e Interfaz
